incident nummer,Incident categorie,Beschrijving incident
1065298,2e lijns (Doorgezette incidenten),Nieuwe KA: ctxh21-02 geen beschikbare servers
1124826,Hardware / Werkplekbeheer,TC loopt met enige regelmaat vast of hapert
1156332,2e lijns (Doorgezette incidenten),Kaartlezer wordt niet offline ondersteund.
1183663,Functioneel beheer,"iTask, rechten herstellen"
1183923,Functioneel beheer,"iPortal, alarmnummers opnemen in kwaliteitsportalen"
1183923,Functioneel beheer,"Process Manager, Ondersteuning uitwerking proces"
1188361,Functioneel beheer,CS Document: vraag
1188362,Functioneel beheer,E-verwijzen
1188362,Functioneel beheer,Janneke svp terugbellen inzake bonnr 01153601
1188366,2e lijns (Doorgezette incidenten),Probleem met inloggen in Dermamate
1188366,Functioneel beheer,CS Klinische plannen: Wachtlijst plannen gaat niet goed.
1188368,Functioneel beheer,"CS Dossier: GGZ-dossier, decursus aanmaken lukt niet."
1188368,Hardware / Werkplekbeheer,"wire solutions kan geen pakketkeuze maken, heeft alleen  radio"
1188370,Functioneel beheer,CS EPD: aanpassen layout GGZ specialisten (bestemd voor psychiaters)
1188370,Hardware / Werkplekbeheer,Nieuw geplaatste MFC print niet
1188371,Functioneel beheer,CS-? verzoek
1188371,Hardware / Werkplekbeheer,Wil camera aansluiten op pc om zo foto's te kunnen kopieren naar schijf.
1188372,Functioneel beheer,Pos artsen CS
1188373,2e lijns (Doorgezette incidenten),Outlook Traagheid XENAPPA8-02
1188373,Functioneel beheer,CS Agenda: subagenda aanmaken
1188376,Functioneel beheer,CS Agenda: Inrichting agenda's handenteam
1188376,Hardware / Werkplekbeheer,Levering Laptop Amsterdam
1188379,Functioneel beheer,CS-GGZ: dbs's zonder ......
1188379,Hardware / Werkplekbeheer,"Kan niet inloggen: ""no logon servers available""."
1188382,Functioneel beheer,CS Agenda: brief
1188382,Hardware / Werkplekbeheer,Laptop H011 hiervan reageert toetsenbord niet goed
1188386,Functioneel beheer,CS Agenda: brief
1188386,Hardware / Werkplekbeheer,kan niet in loggen
1188391,Functioneel beheer,CS Agenda: GGZ vraag ongepland consult
1188391,Hardware / Werkplekbeheer,"Laptop: Letter ""e"" werkt niet goed van het toetsenbord"
1188392,Functioneel beheer,CS-Order: vraag ICC consulten
1188392,Hardware / Werkplekbeheer,PC isd ontzettend traag
1188393,Functioneel beheer,CS Ziscon: vragenlijsten
1188393,Hardware / Werkplekbeheer,Gebruiker kan USB stick niet gebruiken
1188395,Functioneel beheer,CS Ziscon: autorisatie WOOLDE
1188395,Hardware / Werkplekbeheer,Nieuw ingerichte pc vertoont schaduwbeelden
1188396,3e lijns (Technische incidenten),Comez
1188396,Functioneel beheer,CS Opname: POS onderzoek printen
1188398,Functioneel beheer,CS Agenda: toevoegeing aan huis prikken
1188398,Functioneel beheer,CS Agenda: Toevoegen telefonisch consult in bevestigingsbericht
1188401,Functioneel beheer,CS Agenda: MDO toevoegen Geriatrie
1188401,Functioneel beheer,CS klant: Huisartsen omzetten
1188402,3e lijns (Technische incidenten),Aanvraag voor Mobile Inlog en WS Private. Hoe te installeren?
1188402,Functioneel beheer,CS PDMS: Pijnscore volgens Gordon Recovery
1188403,3e lijns (Technische incidenten),ipad: Mist iets op zijn ipad
1188403,Functioneel beheer,CS Dossier:  Aanlever
1188404,Functioneel beheer,CS Dossier: DSCA:  --> Vragenlijst voor het traject oncologie – colorectaal.
1188404,Hardware / Werkplekbeheer,vervangen aantal GX60 door thin clients.
1188405,Functioneel beheer,CS Dossier: beantwoording aanpassen
1188405,Functioneel beheer,Ultimo - Aan tabel kostenplaats een kolom unithoofd toevoegen
1188406,Functioneel beheer,AP COPD CS
1188406,Hardware / Werkplekbeheer,"In Wacht__2 thin clients met 19""  tft plaatsen"
1188407,Functioneel beheer,cs Orders nakijken (F3)
1188407,Hardware / Werkplekbeheer,Balance Lab: Op WS30229 of TC45476 (voorkeur) moet dongle geïsntalleerd worden.
1188408,Functioneel beheer,AP THP/TKP
1188408,Hardware / Werkplekbeheer,wire solutions geen tb bij apparatuur
1188409,Functioneel beheer,CS Agenda: CRM-ERP traag na verslepen klant
1188410,1e lijns beheer (Helpdesk),Excel openen door direct een bestand te openen
1188410,Functioneel beheer,CS Ziscon: Aanpassing rechten diversen
1188412,2e lijns (Doorgezette incidenten),safewordcode
1188412,Functioneel beheer,CS Ziscon/autorisatie: Wijziging account B. Klaassen CS
1188413,Functioneel beheer,CS Ziscon/AutorisatieAutorisaties het Woolde EPD / CAB
1188414,3e lijns (Technische incidenten),Exact Globe foutmelding
1188418,Functioneel beheer,CS Agenda: Agenda klachtencommissie maken
1188420,2e lijns (Doorgezette incidenten),dv met R. Huuskes
1188420,Functioneel beheer,CS Ziscon: rechten toekennen PA
1188423,Functioneel beheer,CS Ambulant: ambulantversie aanmaken voor MDO > Multiresource afspraken uitzoeken + testen
1188423,Functioneel beheer,Cs-dossier: vraag
1188429,Functioneel beheer,CS-document: verwijderen
1188429,Functioneel beheer,naamwijziging Zotel naar G3
1188430,1e lijns beheer (Helpdesk),Gegevens adresboek outlook kloppen niet.
1188430,3e lijns (Technische incidenten),Everwijzen HL7 - Aanmaken prd en test server
1188431,2e lijns (Doorgezette incidenten),bestanden moeten worden doorgestuurd naar Siemens
1188431,Functioneel beheer,"DKSE, gebruikersondersteuning"
1188432,1e lijns beheer (Helpdesk),mfc reset
1188432,3e lijns (Technische incidenten),Recepten uitdraaien op nieuwe printer
1188435,Hardware / Werkplekbeheer,aanvraag diverse apparatuur
1188435,Hardware / Werkplekbeheer,WS Connect scherm valt af en toe uit
1188436,Functioneel beheer,Doorbelasten opdrachten voor commercieel vastgoed
1188438,Hardware / Werkplekbeheer,"Frank, svp terugbellen"
1188439,Telefonie / Communicatie,ophalen gsm noodprocedure telefonie
1188440,2e lijns (Doorgezette incidenten),"Gebruiker lbruggink is lid gemaakt van de groep ""sg_appl_dkse_web"" maar ziet ikoon niet."
1188442,2e lijns (Doorgezette incidenten),dv JA
1188443,Hardware / Werkplekbeheer,tc wil niet meer aan
1188445,2e lijns (Doorgezette incidenten),Postkamer: klanten stickers. pla_pos1
1188447,Functioneel beheer,CS-ziscon: aanpassingen gebruikers Amsterdam volgens matrix
1188452,Functioneel beheer,CS-ziscon: aanpassen rechten
1188459,2e lijns (Doorgezette incidenten),dv GR
1188460,2e lijns (Doorgezette incidenten),wire solutions: bij verzenden van een mail wordt het scherm zwart
1188463,Functioneel beheer,"Eskion, aanpassingen op startpagina klinisch lab"
1188464,2e lijns (Doorgezette incidenten),Outlook handtekening
1188466,Functioneel beheer,CS VPK: Onderste statusbalk is verdwenen
1188468,2e lijns (Doorgezette incidenten),dv DH
1188469,Functioneel beheer,C-ziscon: aanmaken account/mutatie
1188470,2e lijns (Doorgezette incidenten),Office 2010 handleidingen voorbereiden met RA
1188471,2e lijns (Doorgezette incidenten),Outlook extra postbus telefonie@WS.nl
1188474,Functioneel beheer,Cs-ziscon: toevoegen BOH
1188475,Functioneel beheer,Verplaatsing klant verdwenen uit historie
1188478,2e lijns (Doorgezette incidenten),vraag afdrukvoorbeeld Excel
1188480,2e lijns (Doorgezette incidenten),CS/CRM-ERP: foutmelding over lengte van een memoveld
1188481,2e lijns (Doorgezette incidenten),Documenten de volgende servers verkrijgen is mislukt. PASHGL-Z01
1188483,Hardware / Werkplekbeheer,"MF Melding: Kaartlezers offline, niet ondersteund: de melding komt dagelijks terug"
1188485,2e lijns (Doorgezette incidenten),pp51660 rechten toekennen
1188487,Hardware / Werkplekbeheer,Papier blijft vast zitten bij kopieren.
1188495,2e lijns (Doorgezette incidenten),wire solutions: naam van patiënt verschijnt niet in beeld
1188497,Functioneel beheer,CS Agenda: Fiatteren agenda CAR_ECG_A gezien t/m 13-09-2013.
1188498,Functioneel beheer,CS Wachtlijstregistratie: Invoeren lControlekameralisatie verrichting duurt lang
1188498,Hardware / Werkplekbeheer,toetsenbord
1188499,Functioneel beheer,Cs-stamtabel: toevoegen externe spec
1188499,Hardware / Werkplekbeheer,Dell computer (2006) Het branden van CD's gaat niet goed.
1188501,2e lijns (Doorgezette incidenten),cpeezenkamp koppeling pasje gemaakt
1188501,Hardware / Werkplekbeheer,GBS inloggen ??
1188502,Functioneel beheer,E-verwijzen
1188503,Hardware / Werkplekbeheer,Mozaiek svp bedieningspaneel checken
1188507,Telefonie / Communicatie,telefoon werkt niet na behoren
1188508,2e lijns (Doorgezette incidenten),MF opdrachten komen wel op het display te staan maar kunnen niet worden afgedrukt na selectie
1188510,1e lijns beheer (Helpdesk),Safeword code Leferink
1188511,2e lijns (Doorgezette incidenten),Mobile Inlog: op nieuwe iPad krijgt foutmelding
1188516,2e lijns (Doorgezette incidenten),PDF openen lukt niet.
1188517,2e lijns (Doorgezette incidenten),Accu handset laad niet meer goed op
1188518,Telefonie / Communicatie,Ron kan niet naar buiten bellen met dit (vaste) toestel
1188519,2e lijns (Doorgezette incidenten),MF
1188521,Hardware / Werkplekbeheer,MF: opdrachten worden niet geprint. Kopieren gaat wel goed
1188523,2e lijns (Doorgezette incidenten),wire solutions gebruik telefonie
1188524,2e lijns (Doorgezette incidenten),operationeel maken van 2 flatscreens bij Tonny functioneel beheer.
1188525,2e lijns (Doorgezette incidenten),Wie regelt de aanvraag voor een nieuwe UZI-pas?
1188526,2e lijns (Doorgezette incidenten),monitor in hoogte verstellen
1188527,1e lijns beheer (Helpdesk),Gebruikers  uit groep verwijderd
1188529,Hardware / Werkplekbeheer,MF scaninstellingen slecht leesbaar
1188530,2e lijns (Doorgezette incidenten),MF scaninstellingen volgorde pagina's
1188531,2e lijns (Doorgezette incidenten),Vraagt om USB stick.
1188535,2e lijns (Doorgezette incidenten),Vraagje over contactpersonen.
1188537,2e lijns (Doorgezette incidenten),tokencode gevraagd.
1188540,2e lijns (Doorgezette incidenten),Sven Smits fysiotherapie
1188541,2e lijns (Doorgezette incidenten),dv met G. Rouw
1188543,Functioneel beheer,E-verwijzing
1188544,2e lijns (Doorgezette incidenten),Vraagt om haar pasje te koppelen
1188547,1e lijns beheer (Helpdesk),safeword code CSC
1188548,2e lijns (Doorgezette incidenten),Controlekamer is vrij
1188549,2e lijns (Doorgezette incidenten),vraagt naar rene v
1188551,Functioneel beheer,CS Agenda: Afspraakcode mist
1188553,Telefonie / Communicatie,Interparking Amsterdam: Buitenlijn vd telefoon werkt niet.
1188554,Functioneel beheer,CS Overzichtsgenerator: overzicht afspraken
1188557,Functioneel beheer,"DKSE, labdocumenten (Fin-ERP-domein) importeren"
1188560,2e lijns (Doorgezette incidenten),wire solutions: wil zich afmelden voor abbonnement
1188560,Functioneel beheer,"DKSE, patiënteninformatiefolders en formulieren"
1188562,2e lijns (Doorgezette incidenten),Wil token laten vervangen voor gebruiker ivm niet goed functioneren van token
1188562,Functioneel beheer,"DKSE, diverse werkzaamheden"
1188564,2e lijns (Doorgezette incidenten),WS-handtekening weg
1188564,Functioneel beheer,"DKSE, klanteninformatiefolders en WS Website"
1188568,2e lijns (Doorgezette incidenten),Telewerken werkt niet meer op nieuw aangeschafte laptop
1188568,Functioneel beheer,iProva: aanmaken gebruikersgroepen en verwijderen documentbeheerrechten
1188571,2e lijns (Doorgezette incidenten),ipad dv DP
1188571,Functioneel beheer,"iPortal, klanteninformatiefolders"
1188572,Functioneel beheer,"DKSE, gebruikersondersteuning"
1188575,Functioneel beheer,"iProva, centraal gebruikersbeheer"
1188576,2e lijns (Doorgezette incidenten),Svp reboot van server gbs-h01
1188576,Functioneel beheer,"iPortal, kan excel bestand niet opslaan"
1188579,Functioneel beheer,"Compliance manager, overleg"
1188585,Functioneel beheer,"iPortal, zoekresultaten op zoekterm brand"
1188587,Functioneel beheer,"iPortal, handleiding nieuwsrubrieken en hot links"
1188588,Functioneel beheer,"iPortal, nieuwsrubriek aanmaken en koppelen aan portalen"
1188590,Functioneel beheer,"iPortal, aanpassingen kwaliteitsportaal Nucleaire Geneeskunde"
1188591,Functioneel beheer,"iPortal, aanmaken portaal Vastgoed"
1188592,Functioneel beheer,"iPortal, aanmaken basis kwaliteitsportaal Helon"
1188593,Functioneel beheer,"iPortal, inrichten portaal voor regiecentrum"
1188594,Functioneel beheer,"iTask, instelmogelijkheden e-mailnotificaties"
1188595,Functioneel beheer,"iPortal, aanmaken portaal voor WS Academie"
1188597,Functioneel beheer,"iPortal, inrichten portaal voor QMT"
1188598,Functioneel beheer,"iPortal, portaal aanmaken voor Raad van Bestuur"
1188599,Functioneel beheer,"iPortal, portaal aanmaken voor F&I"
1188600,Functioneel beheer,"iPortal, portaal inrichten voor Behandelcentrum"
1188601,Functioneel beheer,"DKSE,  afdrukken document"
1188603,Functioneel beheer,"iPortal, portaal inrichten voor Dagopname"
1188609,Functioneel beheer,"Documentbeheerstructuur RVE, spelregels"
1188610,Functioneel beheer,"iPortal, inrichten van portal voor SEH"
1188613,Functioneel beheer,"iPortal, inrichten portaal Allergologie"
1188615,Functioneel beheer,"DKSE, foutmelding bij mailbericht naar beoordelaar"
1188616,Functioneel beheer,"iPortal, inrichten portaal klinische farmacie"
1188617,Functioneel beheer,"iPortal, inrichten portaal voor Gynaecologie"
1188618,Functioneel beheer,DKSE kan geen document afdrukken
1188623,Functioneel beheer,"iPortal, inrichten portal voor processtroom Controlekamer / CSA"
1188625,Functioneel beheer,"DKSE, zoekwoorden protocol VBI"
1188631,Functioneel beheer,"iPortal, portaal aanmaken P&O"
1188632,Functioneel beheer,"DKSE, Voorstel koptekst niet HTML-documenten"
1188633,Functioneel beheer,"iPortal, inrichten portaal Urologie"
1188637,Functioneel beheer,"iPortal, inrichten portaal Oogheelkunde"
1188638,Functioneel beheer,Infoland contact inzake iProcess
1188640,Functioneel beheer,"iPortal, inrichten  portaal Oncologie"
1188647,Functioneel beheer,"iPortal, portaal inrichten Anesthesiologie"
1188650,Functioneel beheer,"iPortal, aanmaken portaal Heelkunde"
1188653,Functioneel beheer,DKSE: opschoonactie documenten
1188654,Functioneel beheer,"iPortal, portaal voor Intensive Care"
1188657,2e lijns (Doorgezette incidenten),iets met CS
1188658,2e lijns (Doorgezette incidenten),inlogprobleem
1188661,Functioneel beheer,wire solutions: careservant VIPcode wordt niet bewaard sinds update!
1188663,Functioneel beheer,wire solutions: wil dag gerestitueerd hebben
1188664,Functioneel beheer,wire solutions wil graag restitutie voor vandaag ivm onderhoud
1188666,Functioneel beheer,wire solutions: België 1 en België 2 doen het niet SF 11365
1188669,Functioneel beheer,wire solutions mevrouw wil specifitatie van factuur opname dhr vermeer Kapitein
1188673,2e lijns (Doorgezette incidenten),tokencode
1188676,1e lijns beheer (Helpdesk),Chipsoft loopt elke keer vast
1188680,Functioneel beheer,CS Agenda: In gefiatteerde agenda code HC aanpassen naar NC
1188682,1e lijns beheer (Helpdesk),ultimo hing
1188684,2e lijns (Doorgezette incidenten),Ultimo zandloper
1188688,2e lijns (Doorgezette incidenten),dv HC
1188691,Functioneel beheer,CS Agenda: CRM-ERP loopt vast bij slepen in agenda.
1188693,3e lijns (Technische incidenten),update CVI42
1188694,Functioneel beheer,CS Agenda: aanpassen agenda
1188695,Hardware / Werkplekbeheer,plaatsen 6 werkplekken
1188696,1e lijns beheer (Helpdesk),wire solutions: verzoek tot reset
1188697,2e lijns (Doorgezette incidenten),tokencode
1188698,Functioneel beheer,CS Document: Controlekamer sjabloon kwijt
1188701,2e lijns (Doorgezette incidenten),BO clients
1188702,Hardware / Werkplekbeheer,smartphone instellen Samsung Galaxy S2
1188703,2e lijns (Doorgezette incidenten),Nieuwe KA: vervangen vergaderPC's door 790
1188705,3e lijns (Technische incidenten),upgrade Proforma
1188708,3e lijns (Technische incidenten),Extra Q/R node voor RoganPACS benodigd voor data collectie bestemd voor TRIAL
1188710,Hardware / Werkplekbeheer,Behuissing zit los. Waarschijnlijk gevallen
1188712,2e lijns (Doorgezette incidenten),verzoek vervanging special pc camerasysteem door WS standaard
1188714,3e lijns (Technische incidenten),Migratie en update MTScale
1188715,Functioneel beheer,Cs-opname: aanpassen ontslag
1188717,Functioneel beheer,Event Ultimo verdelen onder de medewerkers
1188718,Functioneel beheer,Cs-pati:ent: wijzigen adres
1188720,1e lijns beheer (Helpdesk),printer reset
1188721,Functioneel beheer,CS Agenda: Toevoegen Subagenda
1188722,2e lijns (Doorgezette incidenten),Handtekening opnieuw instellen
1188724,2e lijns (Doorgezette incidenten),wire solutions: Beeldscherm doet het niet
1188725,Functioneel beheer,CS Ziscon: Rechten patiëntenregistratie MS doorgestuurd
1188727,2e lijns (Doorgezette incidenten),BRain RT
1188728,2e lijns (Doorgezette incidenten),"helpen advies Easyscan, hier zou iemand voor zijn ingepland: vraagt naar Geert"
1188730,Hardware / Werkplekbeheer,Gebruiker kan niet inloggen
1188733,2e lijns (Doorgezette incidenten),"papier zit vast, probleem is verholpen door karin zelf."
1188734,2e lijns (Doorgezette incidenten),pasje vergeten wat is pasnr voor gebruik
1188735,3e lijns (Technische incidenten),Kodak capture pro
1188848,3e lijns (Technische incidenten),Website niet benaderbaar door cookie-regeling
1188861,3e lijns (Technische incidenten),3e lijner inplannen DKS
1188865,2e lijns (Doorgezette incidenten),BO icoon maken tbv v5.0
1188868,3e lijns (Technische incidenten),Rechtenstructuur PACS printer
1188872,3e lijns (Technische incidenten),1e keer starten van Acrobat Reader traag
1188873,3e lijns (Technische incidenten),MF pas van lenscentrum zonder windows username activeren
1188875,3e lijns (Technische incidenten),Project --- Nieuwe KA Dermatologie ---
1188876,3e lijns (Technische incidenten),Project --- Nieuwe KA Dermatologie ---
1188878,3e lijns (Technische incidenten),Weinig schijfruimte op dataware-h02. Transaction log kan niet weggeschreven worden. ETL is daarom mislukt.
1188879,3e lijns (Technische incidenten),reorganisatie UPS Amsterdam
1188881,3e lijns (Technische incidenten),MOSOS extra aansluitingen of WiFi
1188882,3e lijns (Technische incidenten),update terarecon - aanpassing sequence en onderzoek mogelijkheden locale install citrix
1188889,3e lijns (Technische incidenten),update terarecon - testen script
1188890,3e lijns (Technische incidenten),aanvraag MOSOS via Wifi op Controlekamer en kraam_beide locaties
1188891,3e lijns (Technische incidenten),verzoek kopie Diamantdatabase voor rapportages
1188894,Functioneel beheer,CS Agenda: bericht aanpassen
1188900,3e lijns (Technische incidenten),Scans komen niet over in de mail
